ID,NAME,all_ids
6866,alcidesmaganeramon,{6866}
6866,romeroantonio,{6866}
6866,gonzalezquionesjorge,"{11940, 6866, 8243, 23124, 7221, 10901, 23125, 11960, 26195}"
6866,maganajorge,{6866}
6866,maganaalcidesramon,{6866}
6866,mataalcides,"{6866, 23983}"
6866,ramonmaganaalcedis,{6866}
6895,autodefensasunidasdecolombia,{6895}
6895,auc,{6895}
6897,gspc,{6897}
6897,legroupesalafistepourlapredicationetlecombat,{6897}
6897,salafistgroupforpreachingandcombat,{6897}
6897,alqaidaintheislamicmaghreb,"{8759, 11695, 6897, 16278, 27318, 6366}"
6897,aqim,{6897}
6897,tanzimalqaidafibiladalmaghribalislamiya,"{6897, 8759, 11695}"
6899,aiai,{6899}
6901,aladilsaif,{6901}
6903,alshanqitikhalid,{6903}
6903,alwalidmafouzwalad,{6903}
6905,husainzainalabidinmuhammad,{6905}
6905,husseinzaynalabidinmuhammad,{6905}
6905,abuzubeidahzeinulabideenmuhammedhusein,{6905}
6906,aliraqiabdalalhadi,{6906}
6907,abdallahtarwatsalah,"{6368, 39297, 17185, 12868, 17509, 37416, 7852, 6927, 9935, 9329, 12562, 37430, 15414, 6907}"
6907,thirwatshahata,{6907}
6907,thirwatsalahshihata,{6907}
6908,fathiamralfatih,{6908}
6908,faraghamdiahmad,"{6908, 19869}"
6911,alwafa,"{23056, 16994, 13395, 6911}"
6911,alwafaorganization,"{23056, 16994, 13395, 6911}"
6911,wafaaligathaalislamia,{6911}
6912,alrasheedtrust,"{6912, 7201}"
6912,alrashidtrust,"{6912, 7201}"
6912,alrasheedtrust,"{6912, 7201}"
6912,alaminwelfaretrust,"{24744, 6912}"
6912,alamintrust,"{24744, 6912}"
6912,alameentrust,{6912}
6912,alameentrust,{6912}
6912,almadinatrust,"{6912, 31971, 11461, 26090, 12146, 12890}"
6912,almadinatrust,"{6912, 31971, 11461, 26090, 12146, 12890}"
6912,maymartrust,{6912}
6912,maimartrust,{6912}
6912,momartrust,{6912}
6912,meymartrust,{6912}
6913,darkazanlicompany,{6913}
6913,darkazanliexportimportsonderposten,{6913}
6915,almasriabumohamed,"{15584, 18529, 20225, 6915, 6916, 6924, 21325, 9486, 11377, 11379, 16280}"
6916,abdurehmanahmedmohammed,{6916}
6916,ahmedahmed,"{44865, 16995, 6916, 28163, 34985, 6925, 13103, 42159, 7925, 28054, 13369, 12795}"
6916,alihamed,{6916}
6916,aliahmedmohammed,"{6925, 23924, 6916}"
6916,almasriahmad,"{15584, 18529, 20225, 6915, 6916, 6924, 21325, 9486, 11377, 11379, 16280}"
6916,alsurirabuislam,"{12841, 6916}"
6916,hemedahmed,{6916}
6916,shiebahmed,{6916}
6918,almughassilahmedibrahim,"{7140, 11461, 6918, 20880, 33941}"
6921,bouslimammarmansour,{6921}
6921,salimhassanrostom,"{12992, 17928, 6921, 9451, 17387, 49073, 10481, 2676}"
6923,alhourialisaedbinali,"{17368, 6923, 17927}"
6923,elhourialisaedbinali,{6923}
6924,elbishymoustafaali,{6924}
6924,mohammedmustafa,"{44929, 30087, 21387, 6924, 6925, 6927, 10898, 6935, 15008, 8867, 45093, 32174, 12592, 23625, 15831, 45015, 29019, 11748, 25062, 30961, 9593, 9595, 46076, 9597}"
6924,fazulmustafa,{6924}
6924,fadilmustafamuhamad,{6924}
6924,almasriabdalwakil,"{15584, 18529, 20225, 6915, 6916, 6924, 21325, 9486, 11377, 11379, 16280}"
6924,alihassan,{6924}
6924,mannu,{6924}
6924,jihadabu,"{6924, 10053}"
6924,alnubiabu,{6924}
6925,ghilaniahmadkhalafan,{6925}
6925,ahmedahmedkhalfan,"{44865, 16995, 6916, 28163, 34985, 6925, 13103, 42159, 7925, 28054, 13369, 12795}"
6925,ahmedabubakark,"{44865, 16995, 6916, 28163, 34985, 6925, 13103, 42159, 7925, 28054, 13369, 12795}"
6925,ahmedabubakaryk,"{44865, 16995, 6916, 28163, 34985, 6925, 13103, 42159, 7925, 28054, 13369, 12795}"
