ID,NAME,TYPE
9337,ARRIOLA MARQUEZ ORGANIZATION,C
9345,KOREA MINING DEVELOPMENT TRADING CORPORATION,C
9346,TANCHON COMMERCIAL BANK,C
9347,KOREA RYONBONG GENERAL CORPORATION,C
9348,AEROSPACE INDUSTRIES ORGANIZATION,C
9349,SHAHID HEMMAT INDUSTRIAL GROUP,C
9350,SHAHID BAKERI INDUSTRIAL GROUP,C
9352,SCIENTIFIC STUDIES AND RESEARCH CENTER,C
9385,"SERVICIOS ADMINISTRATIVOS Y DE ORGANIZACION, S.C.",C
9386,"KONTROLES ELECTRONICOS DE BAJA CALIFORNIA, S.A. DE C.V.",C
9387,"COMERCIALIZADORA AMIA, S.A. DE C.V.",C
9400,INDIO VITORIO S. DE P.R. DE R.L. DE C.V.,C
9401,CHIHUAHUA FOODS S.A. DE C.V.,C
9402,CORRALES SAN IGNACIO S.P.R. DE R.L. DE C.V.,C
9403,CAMBIOS PALMILLA S.A. DE C.V.,C
9404,GASOLINERAS SAN FERNANDO S.A. DE C.V.,C
9405,INMOBILIARIA EL PRESON S.A. DE C.V.,C
9406,INMOBILIARIA EL ESCORPION DEL NORTE S.A. DE C.V.,C
9407,DEL NORTES CARNES FINAS SAN IGNACIO S.A. DE C.V.,C
9408,AUTO EXPRESS DORADOS S.A. DE C.V.,C
9519,HESONG TRADING CORPORATION,C
9520,TOSONG TECHNOLOGY TRADING CORPORATION,C
9521,KOREA COMPLEX EQUIPMENT IMPORT CORPORATION,C
9523,KOREA KWANGSONG TRADING CORPORATION,C
9524,KOREA PUGANG TRADING CORPORATION,C
9525,KOREA RYONGWANG TRADING CORPORATION,C
9526,KOREA INTERNATIONAL CHEMICAL JOINT VENTURE COMPANY,C
9527,KOREA RYONHA MACHINERY JOINT VENTURE CORPORATION,C
9539,NICE FANTASY GARMENT COMPANY LTD.,C
9540,V.R. FRUIT COMPANY,C
9541,SIAM NICE COMPANY LTD.,C
9542,SCORE COMMERCIAL COMPANY LTD.,C
9543,RUNGRIN COMPANY LTD.,C
9544,RATTANA VICHAI COMPANY LTD.,C
9545,PROGRESS SURAWEE COMPANY LTD.,C
9546,PLUS TECH AUTO SUPPLY COMPANY LTD.,C
9547,PLOYDAENG JEWELRY SHOP,C
9548,MAESAI K.D.P. COMPANY LTD.,C
9549,KRADUMPORN IMPORT EXPORT COMPANY LTD.,C
9550,HATKAEW COMPANY LTD.,C
9551,GREEN CAR RENT LIMITED PARTNERSHIP,C
9552,BANGKOK SILK FLOWER COMPANY LTD.,C
9553,BANGKOK ARTI-FLORA DESIGN LIMITED PARTNERSHIP,C
9554,A-TEAM CHEMICALS COMPANY LTD.,C
9571,AGROPECUARIA PALMA DEL RIO S.A.,C
9600,SARA PROPERTIES LIMITED,C
9601,MEADOWBROOK INVESTMENTS LIMITED,C
9602,OZLAM PROPERTIES LIMITED,C
9603,SANABEL RELIEF AGENCY LIMITED,C
9609,AL MANAR TV,C
9610,LEBANESE MEDIA GROUP,C
9611,AL NOUR RADIO,C
9618,KOHAS AG,C
9749,"LIMMT ECONOMIC AND TRADE COMPANY, LTD.",C
9750,"BEIJING ALITE TECHNOLOGIES CO., LTD.",C
9753,CHINA NATIONAL PRECISION MACHINERY IMPORT/EXPORT CORPORATION,C
9756,AMEZCUA CONTRERAS ORGANIZATION,C
9759,DAWOOD IBRAHIM ORGANIZATION,C
9763,SANAM INDUSTRIAL GROUP,C
9764,YA MAHDI INDUSTRIES GROUP,C
9936,NETHERLANDS CARIBBEAN BANK N.V.,C
9949,ISLAMIC RESISTANCE SUPPORT ORGANIZATION,C
9964,YOUSSER COMPANY FOR FINANCE AND INVESTMENT,C
9965,BAYT AL-MAL,C
9971,PLAYA MAR S.A. DE C.V.,C
9972,INMOBILIARIA ESPARTA S.A. DE C.V.,C
9973,INMOBILIARIA LA PROVINCIA S.A. DE C.V.,C
